onset	duration	trial_type	trial	delay	sentence	detected_delay
57.9145	4.1026	baseline	1	0.004	The poor boy missed the boat again.	0
84.6149	4.0595	baseline	2	0.004	Cap the jar with a tight brass cover.	0
93.965	3.2911	baseline	3	0.004	The first part of the plan needs changing.	0
100.1818	3.3048	baseline	4	0.004	Pick a card and slip it under the pack.	0
108.0652	3.2754	baseline	5	0.004	You cannot brew tea in a cold pot.	0
115.4653	3.8173	baseline	6	0.004	A round mat will cover the dull spot.	0
122.9321	3.1568	baseline	7	0.004	Hang tinsel from both branches.	0
131.499	3.2757	baseline	8	0.004	The mail comes in three batches per day.	0
138.4323	3.7886	baseline	9	0.004	Be sure to set that lamp firmly in the hole.	0
146.3658	3.981	baseline	10	0.004	A good book informs of what we ought to know.	0
154.6159	3.7529	baseline	11	0.004	Boards will warp unless kept dry.	0
161.9994	3.4316	baseline	12	0.004	Pack the records in a neat thin case.	0
169.2495	3.4276	baseline	13	0.004	We need grain to keep our mules healthy.	0
178.383	3.5638	baseline	14	0.004	Bathe and relax in the cool green grass.	0
185.3164	2.7409	baseline	15	0.004	Fill the ink jar with sticky glue.	0
191.0005	3.1113	baseline	16	0.004	Glass will clink when struck by metal.	0
197.7333	3.1288	baseline	17	0.004	The plush chair leaned against the wall.	0
203.9168	3.3197	baseline	18	0.004	The copper bowl shone in the sun's rays.	0
210.2334	3.3215	baseline	19	0.004	The crunch of feet in the snow was the only sound.	0
216.1002	3.7811	baseline	20	0.004	He smoke a big pipe with strong contents.	0
223.217	3.4467	random1	1	0.045	At that high level the air is pure.	1
229.5004	3.6816	random1	2	0.104	A filing case is now hard to buy.	1
236.0171	4.1231	random1	3	0.089	He knew the skill of the great young actress.	1
243.234	3.2806	random1	4	0.011	The office paint was a dull, sad tan.	1
249.5341	3.6989	random1	5	0.213	Wood is best for making toys and blocks.	1
256.3508	4.2083	random1	6	0.112	The jacket hung on the back of the wide chair.	1
263.5181	3.8712	random1	7	0.041	A shower of dirt fell from the hot pipes.	0
270.251	3.5767	random1	8	0.066	A rag will soak up spilled water.	1
276.5011	3.789	random1	9	0.252	An abrupt start does not win the prize.	1
283.3512	3.9132	random1	10	0.178	Drop the two when you add the figures.	1
290.6013	4.0772	random1	11	0.115	It was done before the boy could see it.	1
297.7181	4.7504	random1	12	0.245	A cruise in warm waters in a sleek yacht is fun.	1
306.5015	4.181	random1	13	0.09	Poached eggs and tea must suffice.	1
313.635	4.2536	random1	14	0.137	Tear a thin sheet from the yellow pad.	1
320.5684	4.4544	random1	15	0.151	A streak of color ran down the left edge.	1
328.8686	4.2963	random1	16	0.07	Bad nerves are jangled by a door slam.	1
336.0687	2.9826	random1	17	0.016	Fine soap saves tender skin.	0
341.3854	4.2643	random1	18	0.146	Crouch before you jump or miss the mark.	1
348.8356	4.5561	random1	19	0.197	The square peg will settle in the round hole.	1
